name,value,date
山东省,15,2020-01-24
甘肃省,2,2020-01-24
山西省,1,2020-01-24
重庆市,27,2020-01-24
吉林省,3,2020-01-24
广西壮族自治区,13,2020-01-24
海南省,8,2020-01-24
河南省,9,2020-01-24
贵州省,3,2020-01-24
四川省,15,2020-01-24
北京市,36,2020-01-24
江西省,7,2020-01-24
陕西省,5,2020-01-24
福建省,10,2020-01-24
湖北省,549,2020-01-24
辽宁省,4,2020-01-24
湖南省,24,2020-01-24
内蒙古自治区,2,2020-01-24
广东省,53,2020-01-24
云南省,5,2020-01-24
宁夏回族自治区,2,2020-01-24
河北省,2,2020-01-24
浙江省,43,2020-01-24
安徽省,15,2020-01-24
江苏省,9,2020-01-24
黑龙江省,4,2020-01-24
北京市,41,2020-01-25
河南省,32,2020-01-25
四川省,28,2020-01-25
贵州省,4,2020-01-25
福建省,18,2020-01-25
新疆维吾尔自治区,3,2020-01-25
吉林省,4,2020-01-25
重庆市,57,2020-01-25
山西省,6,2020-01-25
甘肃省,4,2020-01-25
江西省,18,2020-01-25
广西壮族自治区,23,2020-01-25
陕西省,15,2020-01-25
海南省,19,2020-01-25
湖北省,730,2020-01-25
湖南省,43,2020-01-25
内蒙古自治区,7,2020-01-25
广东省,78,2020-01-25
宁夏回族自治区,3,2020-01-25
云南省,11,2020-01-25
山东省,27,2020-01-25
辽宁省,16,2020-01-25
河北省,8,2020-01-25
浙江省,62,2020-01-25
安徽省,39,2020-01-25
江苏省,18,2020-01-25
青海省,1,2020-01-25
黑龙江省,9,2020-01-25
北京市,68,2020-01-26
四川省,44,2020-01-26
贵州省,5,2020-01-26
河南省,83,2020-01-26
福建省,35,2020-01-26
澳门,2,2020-01-26
广西壮族自治区,36,2020-01-26
重庆市,75,2020-01-26
甘肃省,7,2020-01-26
新疆维吾尔自治区,4,2020-01-26
江西省,36,2020-01-26
海南省,22,2020-01-26
山西省,9,2020-01-26
陕西省,22,2020-01-26
湖北省,1058,2020-01-26
辽宁省,21,2020-01-26
山东省,46,2020-01-26
湖南省,69,2020-01-26
天津市,14,2020-01-26
宁夏回族自治区,4,2020-01-26
广东省,111,2020-01-26
黑龙江省,15,2020-01-26
河北省,13,2020-01-26
浙江省,104,2020-01-26
安徽省,60,2020-01-26
江苏省,33,2020-01-26
云南省,16,2020-01-26
河南省,128,2020-01-27
江西省,48,2020-01-27
北京市,80,2020-01-27
四川省,69,2020-01-27
贵州省,7,2020-01-27
福建省,59,2020-01-27
新疆维吾尔自治区,5,2020-01-27
广西壮族自治区,46,2020-01-27
吉林省,6,2020-01-27
重庆市,110,2020-01-27
山西省,13,2020-01-27
甘肃省,14,2020-01-27
陕西省,35,2020-01-27
海南省,33,2020-01-27
辽宁省,27,2020-01-27
浙江省,128,2020-01-27
青海省,6,2020-01-27
湖南省,100,2020-01-27
内蒙古自治区,11,2020-01-27
广东省,151,2020-01-27
天津市,22,2020-01-27
宁夏回族自治区,7,2020-01-27
云南省,26,2020-01-27
山东省,75,2020-01-27
河北省,18,2020-01-27
湖北省,1423,2020-01-27
安徽省,70,2020-01-27
江苏省,47,2020-01-27
上海市,53,2020-01-27
黑龙江省,21,2020-01-27
江西省,72,2020-01-28
北京市,91,2020-01-28
四川省,90,2020-01-28
贵州省,9,2020-01-28
河南省,168,2020-01-28
福建省,80,2020-01-28
吉林省,8,2020-01-28
广西壮族自治区,51,2020-01-28
重庆市,132,2020-01-28
山西省,20,2020-01-28
甘肃省,19,2020-01-28
陕西省,46,2020-01-28
海南省,40,2020-01-28
辽宁省,34,2020-01-28
新疆维吾尔自治区,10,2020-01-28
上海市,66,2020-01-28
山东省,95,2020-01-28
湖南省,143,2020-01-28
内蒙古自治区,15,2020-01-28
广东省,207,2020-01-28
天津市,24,2020-01-28
宁夏回族自治区,11,2020-01-28
湖北省,2714,2020-01-28
黑龙江省,30,2020-01-28
河北省,33,2020-01-28
浙江省,173,2020-01-28
安徽省,106,2020-01-28
江苏省,70,2020-01-28
云南省,44,2020-01-28
陕西省,56,2020-01-29
江西省,109,2020-01-29
北京市,111,2020-01-29
四川省,108,2020-01-29
河南省,206,2020-01-29
福建省,84,2020-01-29
吉林省,9,2020-01-29
广西壮族自治区,58,2020-01-29
重庆市,147,2020-01-29
山西省,27,2020-01-29
甘肃省,24,2020-01-29
辽宁省,39,2020-01-29
海南省,43,2020-01-29
新疆维吾尔自治区,13,2020-01-29
湖北省,3554,2020-01-29
江苏省,99,2020-01-29
上海市,96,2020-01-29
山东省,130,2020-01-29
湖南省,221,2020-01-29
广东省,277,2020-01-29
天津市,27,2020-01-29
内蒙古自治区,16,2020-01-29
云南省,55,2020-01-29
黑龙江省,38,2020-01-29
河北省,48,2020-01-29
浙江省,296,2020-01-29
安徽省,152,2020-01-29
宁夏回族自治区,12,2020-01-29
河南省,278,2020-01-30
江西省,162,2020-01-30
北京市,114,2020-01-30
四川省,142,2020-01-30
